dataset_index,n_clusters,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,Ward_Agglomerative_Clustering,Complete_Agglomerative_Clustering,Average_Agglomerative_Clustering,Single_Agglomerative_Clustering,K_Means,Mini_Batch_K_Means,Spectral_Clustering,Affinity_Propagation,Gaussian_Mixture
1,3,0.4820709992785442,0.0823874421913998,0.2870321274550983,0.0373634129930195,-1.6953454801837653,0.02950090927460093,0.18811881188118812,0.23802788442109518,0.04849464538290564,0.0018185492018589614,0.016569003839159425,0.09254394827237826,0.2248939179632249,0.1396241664982825,0.02040816326530612,0.5657708628005658,0.43422913719943423,0.0,0.0,7.0,8.0,1.0,2.0,3.0,6.0,4.0,9.0,5.0
1,4,0.4820709992785442,0.0823874421913998,0.2870321274550983,0.0373634129930195,-1.6953454801837653,0.02950090927460093,0.18811881188118812,0.23802788442109518,0.04849464538290564,0.0018185492018589614,0.016569003839159425,0.09254394827237826,0.2248939179632249,0.1396241664982825,0.02040816326530612,0.5657708628005658,0.43422913719943423,0.0,0.0,7.0,9.0,1.0,2.0,3.0,4.0,5.0,8.0,6.0
1,5,0.4820709992785442,0.0823874421913998,0.2870321274550983,0.0373634129930195,-1.6953454801837653,0.02950090927460093,0.18811881188118812,0.23802788442109518,0.04849464538290564,0.0018185492018589614,0.016569003839159425,0.09254394827237826,0.2248939179632249,0.1396241664982825,0.02040816326530612,0.5657708628005658,0.43422913719943423,0.0,0.0,5.0,9.0,2.0,1.0,4.0,3.0,7.0,6.0,8.0
1,6,0.4820709992785442,0.0823874421913998,0.2870321274550983,0.0373634129930195,-1.6953454801837653,0.02950090927460093,0.18811881188118812,0.23802788442109518,0.04849464538290564,0.0018185492018589614,0.016569003839159425,0.09254394827237826,0.2248939179632249,0.1396241664982825,0.02040816326530612,0.5657708628005658,0.43422913719943423,0.0,0.0,5.0,8.0,1.0,3.0,2.0,4.0,6.0,7.0,9.0
1,7,0.4820709992785442,0.0823874421913998,0.2870321274550983,0.0373634129930195,-1.6953454801837653,0.02950090927460093,0.18811881188118812,0.23802788442109518,0.04849464538290564,0.0018185492018589614,0.016569003839159425,0.09254394827237826,0.2248939179632249,0.1396241664982825,0.02040816326530612,0.5657708628005658,0.43422913719943423,0.0,0.0,8.0,9.0,2.0,3.0,1.0,7.0,4.0,5.0,6.0
1,8,0.4820709992785442,0.0823874421913998,0.2870321274550983,0.0373634129930195,-1.6953454801837653,0.02950090927460093,0.18811881188118812,0.23802788442109518,0.04849464538290564,0.0018185492018589614,0.016569003839159425,0.09254394827237826,0.2248939179632249,0.1396241664982825,0.02040816326530612,0.5657708628005658,0.43422913719943423,0.0,0.0,5.0,7.0,3.0,2.0,1.0,4.0,6.0,8.0,9.0
1,9,0.4820709992785442,0.0823874421913998,0.2870321274550983,0.0373634129930195,-1.6953454801837653,0.02950090927460093,0.18811881188118812,0.23802788442109518,0.04849464538290564,0.0018185492018589614,0.016569003839159425,0.09254394827237826,0.2248939179632249,0.1396241664982825,0.02040816326530612,0.5657708628005658,0.43422913719943423,0.0,0.0,6.0,9.0,4.0,3.0,1.0,2.0,7.0,5.0,8.0
1,10,0.4820709992785442,0.0823874421913998,0.2870321274550983,0.0373634129930195,-1.6953454801837653,0.02950090927460093,0.18811881188118812,0.23802788442109518,0.04849464538290564,0.0018185492018589614,0.016569003839159425,0.09254394827237826,0.2248939179632249,0.1396241664982825,0.02040816326530612,0.5657708628005658,0.43422913719943423,0.0,0.0,2.0,5.0,4.0,3.0,1.0,6.0,9.0,8.0,7.0
2,2,0.49060137342277255,0.15130891350496337,0.38898446434910916,0.023393038887966646,-1.96090907709433,0.1919579713073348,0.31218427965245504,0.0008082440897150939,0.0,0.0,0.0,0.0,0.015962820771873106,0.3162255001010305,0.16286118407759143,0.5285916346736714,0.47140836532632857,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
2,3,0.49060137342277255,0.15130891350496337,0.38898446434910916,0.023393038887966646,-1.96090907709433,0.1919579713073348,0.31218427965245504,0.0008082440897150939,0.0,0.0,0.0,0.0,0.015962820771873106,0.3162255001010305,0.16286118407759143,0.5285916346736714,0.47140836532632857,0.0,0.0,5.0,9.0,2.0,3.0,4.0,8.0,6.0,1.0,7.0
